City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
66,Tuktoyaktuk,69.4541,-133.0374,-16.6,76,75,11.5,CA,2022-04-02 19:15:56
67,Laguna,38.421,-121.4238,74.97,41,0,13.8,US,2022-04-02 19:15:56
68,Hualmay,-11.0964,-77.6139,74.41,71,61,10.42,PE,2022-04-02 19:15:57
69,Camana,-16.6228,-72.7111,72.3,74,36,8.75,PE,2022-04-02 19:15:57
70,Vaini,-21.2,-175.2,73.56,100,75,0.0,TO,2022-04-02 19:15:57
71,Lagoa,39.05,-27.9833,58.87,69,60,10.47,PT,2022-04-02 19:11:27
72,Leh,34.1667,77.5833,27.01,65,1,3.11,IN,2022-04-02 19:15:58
73,Qaanaaq,77.484,-69.3632,14.59,84,88,4.23,GL,2022-04-02 19:15:58
74,Blagoyevo,63.3667,47.9167,12.24,96,93,2.98,RU,2022-04-02 19:15:58
75,Poum,-20.2333,164.0167,81.27,82,100,9.44,NC,2022-04-02 19:15:59
76,Pevek,69.7008,170.3133,-8.84,97,100,2.08,RU,2022-04-02 19:15:59
77,Kiruna,67.8557,20.2251,23.92,80,75,6.91,SE,2022-04-02 19:16:00
78,Bredasdorp,-34.5322,20.0403,61.57,79,59,13.4,ZA,2022-04-02 19:16:00
79,Esperance,-33.8667,121.9,67.77,56,1,12.68,AU,2022-04-02 19:16:00
80,Karabulak,43.3036,44.8964,63.59,45,100,5.75,RU,2022-04-02 19:16:01
81,Vestmanna,62.1564,-7.1664,43.72,81,100,16.11,FO,2022-04-02 19:16:01
82,Elmira,42.0898,-76.8077,48.0,45,0,5.75,US,2022-04-02 19:16:01
83,Nizhniy Ingash,56.2,96.53,26.65,79,88,11.05,RU,2022-04-02 19:16:02
84,Bowen,-20.0167,148.2333,77.99,78,100,9.24,AU,2022-04-02 19:16:03
85,Hasaki,35.7333,140.8333,43.29,67,100,11.12,JP,2022-04-02 19:16:03
86,Pangnirtung,66.1451,-65.7125,24.8,80,75,0.0,CA,2022-04-02 19:16:03
87,Narasannapeta,18.4167,84.05,78.75,89,5,8.97,IN,2022-04-02 19:16:04
88,Erenas,12.4245,124.3238,79.36,79,100,15.59,PH,2022-04-02 19:16:04
89,Sabak,3.7675,100.9875,75.51,93,84,4.09,MY,2022-04-02 19:16:05
90,Rafraf,37.1904,10.1837,50.31,52,3,26.64,TN,2022-04-02 19:17:05
91,Wattegama,6.7989,81.4808,74.79,91,86,2.91,LK,2022-04-02 19:17:06
92,Brus Laguna,15.75,-84.4833,89.83,44,5,9.71,HN,2022-04-02 19:17:06
93,Kiknur,57.3034,47.2011,31.87,95,100,14.74,RU,2022-04-02 19:17:07
94,Sakaiminato,35.55,133.2333,33.78,93,20,5.75,JP,2022-04-02 19:17:07
95,Cabo San Lucas,22.8909,-109.9124,78.62,53,20,14.97,MX,2022-04-02 19:12:47
96,Manakara,-22.1333,48.0167,72.14,88,3,1.66,MG,2022-04-02 19:17:08
97,Caluquembe,-13.7833,14.6833,63.28,91,100,3.31,AO,2022-04-02 19:17:08
98,Port Hedland,-20.3167,118.5667,82.45,78,53,9.22,AU,2022-04-02 19:17:08
99,Nyurba,63.2842,118.3319,-4.65,100,100,3.13,RU,2022-04-02 19:17:09
100,Pisco,-13.7,-76.2167,73.45,64,0,16.11,PE,2022-04-02 19:17:09
101,Moerai,-22.4333,-151.3333,79.95,71,100,5.86,PF,2022-04-02 19:17:10
102,Osakarovka,50.565,72.5692,28.42,83,77,7.72,KZ,2022-04-02 19:17:10
103,Sobolevo,54.4299,31.8996,30.61,95,100,17.81,RU,2022-04-02 19:17:11
104,San Jeronimo,-11.9472,-75.2829,59.5,63,94,6.35,PE,2022-04-02 19:17:11
105,Tura,25.5198,90.2201,70.5,88,4,4.0,IN,2022-04-02 19:17:11
106,Georgetown,5.4112,100.3354,78.73,93,20,4.61,MY,2022-04-02 19:17:12
